"filename", "language", "YAML", "Gradle", "XML", "Properties", "Dart", "C++", "Markdown", "JSON", "HTML", "Swift", "comment", "blank", "total"
"/Users/hackeroid../Dev/Arooj/leafguard/linux/main.cc", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/hackeroid../Dev/Arooj/leafguard/linux/my_application.cc", "C++", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 11, 20, 105
"/Users/hackeroid../Dev/Arooj/leafguard/linux/my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 5, 19
"/Users/hackeroid../Dev/Arooj/leafguard/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 4, 19
"/Users/hackeroid../Dev/Arooj/leafguard/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"/Users/hackeroid../Dev/Arooj/leafguard/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"/Users/hackeroid../Dev/Arooj/leafguard/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/Users/hackeroid../Dev/Arooj/leafguard/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/Users/hackeroid../Dev/Arooj/leafguard/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"/Users/hackeroid../Dev/Arooj/leafguard/pubspec.yaml", "YAML", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 101
"/Users/hackeroid../Dev/Arooj/leafguard/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 6, 60
"/Users/hackeroid../Dev/Arooj/leafguard/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"/Users/hackeroid../Dev/Arooj/leafguard/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 5, 18
"/Users/hackeroid../Dev/Arooj/leafguard/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"/Users/hackeroid../Dev/Arooj/leafguard/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 15, 67
"/Users/hackeroid../Dev/Arooj/leafguard/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 9, 34
"/Users/hackeroid../Dev/Arooj/leafguard/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"/Users/hackeroid../Dev/Arooj/leafguard/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"/Users/hackeroid../Dev/Arooj/leafguard/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 10, 66
"/Users/hackeroid../Dev/Arooj/leafguard/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"/Users/hackeroid../Dev/Arooj/leafguard/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 24, 55, 289
"/Users/hackeroid../Dev/Arooj/leafguard/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 50, 90, 470, 8, 789, 540, 13, 248, 38, 58, 307, 361, 2972
